what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487202943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487206772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487235951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487245564
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481487247527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487247589
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1481487247597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1481487247597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487252526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487259692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487266597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487276155
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481487276314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481487276415
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1481487279327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487284695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487302485
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481487304399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487331619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487331653
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1481487339417
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1481487339435
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1481487339458
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1481487339478
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1481487339482
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1481487339524
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1481487339540
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1481487339592
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1481487339595
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1481487339679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487348821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487763757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487779135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487779284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487785381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487848108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481487888224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481488017694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481488051963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481488055080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481490547206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495143149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495154467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495165763
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1481495167403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495169179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495169336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495169666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495171617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495172590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495174452
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481495175371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495185173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495186488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495193574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495241789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1481495245265
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1481495249902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495254939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495257602
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481495261670
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481495264497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495278638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495391926
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1481495399751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1481495405809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1481495412484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1481495416559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1481495417185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481495443059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523000995
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481523024456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481523026225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523039862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523042967
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481523047115
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1481523047415
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1481523047533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523047559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523051085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481523054018
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1481523054019
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481523068992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523069229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523072769
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481523075697
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481523089050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523105634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523107924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481523112296
